code,2,NN
forget,1,VB
chain,1,NN
control,1,NN
copy,1,VB
lack,1,NN
activated,1,VBD
focus,3,NN
yellow,1,JJ
Winning,1,VBG
handlin,1,VBD
Take,4,VB
tuner,1,NN
meditation,1,NN
oldest,1,JJS
wash,1,NN
Spaceship,1,NNP
layers,1,NNS
trampling,1,VBG
repetition,1,NN
shackles,1,NNS
Seeking,1,NNP
effort,1,NN
formless,1,JJ
asking,1,VBG
Reigns,2,NNP
exit,1,NN
sovereignty,1,NN
Now,5,RB
Self,1,NNP
ta,5,RB
BODY,1,NNP
wreath,1,NN
Young,1,NNP
lessons,1,NNS
chameleon,1,NN
far,2,RB
frequencies,1,NNS
rise,3,NN
Tuned,1,VBN
medicine,2,JJ
wishes,1,VBZ
fall,1,VBP
cook,1,NN
ticket,1,NN
Feeling,3,VBG
bringing,1,VBG
abandoned,1,VBD
Stones,1,NNP
school,1,NN
astral,1,JJ
Rubbaband,1,NNP
Just,1,NNP
level,2,VBP
benevolent,1,NN
die,1,NN
selenite,1,JJ
gleamin,1,VB
large,1,JJ
goblin,1,NN
adjust,1,VBP
THERAPY,1,NNP
Stuntin,1,NNP
hittin,2,JJ
steeple,1,NN
quick,1,JJ
Hopped,1,VBN
mount,1,NN
phenakite,1,JJ
dimes,1,VBZ
still,1,RB
limitations,1,NNS
brethrens,1,NNS
pretend,1,VBP
escalation,1,NN
core,1,NN
Long,1,NNP
budget,1,NN
Whitin,1,NNP
crave,1,VBP
shinin,1,NN
summer,1,NN
booth,2,NN
pass,1,NN
further,1,RB
acid,3,JJ
Durga,1,NNP
dial,1,JJ
abundant,1,JJ
lockin,1,VBP
Form,1,NNP
clock,1,NN
candle,1,NN
sun,1,NN
Heal,1,VBP
Conscious,1,JJ
fucks,1,NNS
melt,1,VBD
Ascending,1,VBG
victims,1,NNS
transmit,1,VBP
Hirin,1,NNP
timeline,1,NN
new,4,JJ
learned,1,VBD
everlasting,1,VBG
maverick,1,NN
bird,1,NN
movement,2,NN
body,11,NN
Kingdom,1,NNP
full,1,JJ
Ma,3,NNP
chose,2,VBD
Light,5,NNP
bods,1,NNS
loose,1,JJ
ridin,1,VBZ
Accelerating,1,NNP
Evervessant,1,NNP
water,1,NN
rigged,1,VBD
beacon,2,NN
alchemize,1,RB
let,10,VB
sink,1,VB
Releasin,1,NNP
same,4,JJ
path,7,NN
change,2,NN
celebration,1,NN
digits,1,NNS
sending,1,VBG
substance,1,NN
Yachty,1,NNP
teeth,1,NN
ahead,1,RB
healthy,1,JJ
shift,2,NN
givin,2,VB
losses,1,NNS
Back,1,RB
Hail,1,NNP
Incarnated,1,NNP
prior,1,JJ
Neva,1,NN
smoke,2,VBD
permutation,1,NN
seams,1,VBP
proof,2,NN
settled,1,VBN
fell,1,VBD
emerge,1,VBP
shovel,1,NN
love,10,NN
Vivid,1,NNP
heart,5,NN
Giving,1,VBG
cowardly,1,JJ
castin,1,NN
manage,1,VB
strap,1,NN
offa,1,RB
patience,2,NN
linen,1,NN
dremel,1,JJ
fake,1,NN
Bustin,1,NNP
slivers,1,NNS
standing,1,VBG
penalty,1,NN
use,1,VB
flaws,1,NNS
wealth,2,NN
army,1,NN
chi,1,NNS
destination,1,NN
negative,1,JJ
next,2,JJ
coalesce,1,VBP
live,1,VBP
camera,1,NN
call,2,VB
moldavite,1,NN
sketchin,1,JJ
thru,2,NN
tell,1,NN
more,2,JJR
son,1,NN
outta,1,VBP
molecules,1,NNS
holy,1,JJ
sessions,1,NNS
started,1,JJ
Coppin,1,NNP
MOUNT,1,NNP
inherited,1,VBD
Sendin,1,NNP
karmic,1,NNP
glass,1,NN
losin,1,VBP
smile,1,NN
baby,1,NN
foundations,1,NNS
hole,1,NN
hold,3,VBP
Painting,1,NNP
fly,1,VBZ
high,4,JJ
Pyramid,1,NNP
Indigo,1,NNP
ride,3,VBP
device,1,NN
soul,8,NN
pour,2,VBP
dusted,1,VBD
hope,1,NN
dazed,1,VBD
making,1,VBG
root,1,NN
Naw,1,NNP
fillin,1,NN
meant,3,JJ
ready,1,JJ
triple,1,JJ
Lil,1,NNP
lock,1,NN
benz,1,NN
fuck,12,NN
accept,1,VB
pieces,1,NNS
states,1,NNS
locks,1,VBZ
homie,2,NN
caution,1,NN
numbers,2,NNS
want,1,VBP
ascension,2,NN
times,3,NNS
Cause,1,NNP
cuppin,1,NN
drugs,1,NNS
Dimensional,1,NNP
sip,3,NN
Altered,1,NNP
savor,1,VBP
Drink,1,NNP
pine,1,NN
arrangement,1,NN
till,1,VBZ
lamp,3,NN
keel,1,VB
gassin,1,VBD
forest,1,JJS
pure,1,NN
beams,1,NNS
buzzin,1,JJ
vigilance,1,NN
fam,3,NN
Spin,1,NNP
play,1,VB
spillin,1,NN
tried,1,VBD
charms,1,NNS
stop,3,VB
ladder,1,NN
Kundalini,1,NNP
tact,1,JJ
decor,1,NN
seepin,1,NN
underhand,2,NN
fa,3,NN
Flyin,1,NNP
plane,3,NN
waves,2,NNS
gates,1,NNS
ties,1,NNS
suck,1,VBD
grow,1,VB
banished,1,VBN
man,7,NN
thought,1,VBD
chute,1,NN
mayo,1,NN
remember,1,VB
third,2,JJ
conscious,2,JJ
light,24,JJ
lost,3,VBD
One,2,CD
tombs,1,NN
thangs,1,NNS
wavy,2,JJ
ego,2,NN
lunchable,1,JJ
goodbye,1,NN
enter,1,VBP
ASCENSION,1,NNP
incentive,1,JJ
vapor,1,NN
Visions,1,NNP
wind,1,NN
Fill,1,NNP
hunnid,2,NN
Even,1,RB
Ayo,1,NNP
Raise,1,NNP
Pleasure,1,NNP
dreamed,1,VBD
Tastin,1,NNP
mission,2,NN
course,1,NN
own,1,JJ
elevated,1,VBD
brim,1,NN
ancients,3,NNS
helm,1,NN
Burnin,1,NNP
riddick,1,JJ
animated,1,VBD
activating,1,VBG
trouble,1,NN
Trinity,7,NNP
Higher,4,JJR
raw,1,VBP
shocker,1,NN
Splashin,1,NNP
eighths,1,JJ
fidgets,1,NNS
chosen,1,NN
thang,1,NN
torn,1,VBD
hot,1,JJ
Rain,1,NNP
winning,2,VBG
chalice,1,JJ
kundalini,1,NN
choose,2,NN
Bringin,2,NNP
orange,1,NN
main,1,JJ
lies,1,VBZ
wingspan,1,NN
souls,2,NNS
inchin,1,VBP
fool,1,VBP
cusp,1,NN
Sorta,1,NNP
crash,1,NN
sacred,2,VBD
yo,15,JJ
views,1,NNS
wake,1,VBP
Firing,1,VBG
shatter,2,VBD
Outro,1,NNP
ship,1,NN
feelin,4,JJ
dat,1,NN
bang,2,NN
therapy,2,NN
fussin,1,NN
Dharmic,1,NNP
Cards,1,NNS
clouds,1,NN
rotation,1,NN
linking,1,VBG
bullshit,1,NN
emotion,1,NN
shadows,2,NNS
Supreme,3,NNP
sleeve,1,NN
redesign,1,VB
spinal,1,NN
Spoken,1,NNP
always,1,RB
wilin,1,JJ
drop,1,NN
betta,1,NN
rocks,1,VBZ
ashes,2,NNS
Santo,1,NNP
ya,1,JJ
truth,3,NN
found,2,VBN
side,1,NN
bone,1,NN
glasses,1,NNS
em,6,FW
lifted,1,VBN
gettin,2,RB
illuminate,1,VBP
Meridians,1,NNPS
woes,1,NNS
energy,6,NN
begin,1,VB
yeah,2,NN
fallin,1,VB
whiplash,1,JJ
frequency,4,NN
doors,1,NNS
challenge,1,NN
pivot,1,NN
wavelength,1,NN
whip,2,NN
really,1,RB
leave,2,VBP
gon,6,VB
matrix,3,NN
Ya,3,NNP
space,3,NN
realign,1,NN
surrounded,1,VBN
washed,1,VBD
reboot,1,NN
silkk,1,VBP
multiply,1,VBP
crumble,1,JJ
heavenly,1,JJ
got,16,VBD
Ward,1,NNP
Hold,2,VBP
cause,1,NN
Jon,1,NNP
eagle,1,NN
sayer,1,NN
missin,1,NN
deflect,1,JJ
city,2,NN
cars,1,NNS
cowards,1,NNS
Sometimes,1,VB
free,3,JJ
reason,1,NN
ancient,1,JJ
flows,1,NNS
x,1,$
amazement,1,VB
Pack,1,NNP
cookin,2,VBP
Ugh,2,NNP
where,1,WRB
Z,1,NNP
cosmic,3,JJ
keep,3,VB
motion,1,NN
thing,1,NN
hindering,1,VBG
Triple,1,JJ
anecdote,1,NN
Touch,1,JJ
Divine,1,NNP
loud,1,JJ
think,1,NN
fuckin,1,VB
purpose,1,VB
Ima,1,NNP
intuition,1,NN
already,1,RB
dont,2,JJ
creepin,1,NNS
